word,transcription,definition,level,categories,raw
later,/ˈleɪ.tər/,"at a time in the future or after the time you have mentioned.",A1,"Adverbs;Time",
laugh,/lɑːf/,"to make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement.",A1,"Verbs;Feelings;Communication",
learn,/lɜːn/,"to gain or acquire knowledge of or skill in something by study, experience, or being taught.",A1,"Verbs;Education",
leave,/liːv/,"to go away from.",A1,"Verbs;Movement",
left,/left/,"on, towards, or relating to the side of a human body or of a thing that is to the west when the person or thing is facing north.",A1,"Adjectives;Movement",
leg,/leɡ/,"each of the limbs on which a person or animal walks and stands.",A1,"Body Parts;Nouns",
lesson,/ˈles.ən/,"a period of time during which a person is taught about a subject or how to do something.",A1,"Education;Nouns",
let,/let/,"to not prevent or forbid; allow.",A1,"Verbs;Modals;Grammar",
letter,/ˈlet.ər/,"a written, typed, or printed communication, sent in an envelope by post or messenger.",A1,"Writing;Communication;Nouns",
library,/ˈlaɪ.brər.i/,"a building or room containing collections of books, periodicals, and sometimes films and recorded music for people to read, borrow, or refer to.",A1,"Places;Education;Nouns",
lie,/laɪ/,"(of a person or animal) to be in or assume a horizontal or resting position on a supporting surface.",A1,"Verbs;Actions",
life,/laɪf/,"the condition that distinguishes animals and plants from inorganic matter, including the capacity for growth, reproduction, and functional activity.",A1,"Nouns;General",
light,/laɪt/,"the natural agent that stimulates sight and makes things visible; electromagnetic radiation.",A1,"Nouns;Nature",
like,/laɪk/,"similar to; resembling.",A1,"Prepositions;Grammar",
line,/laɪn/,"a long, narrow mark or band.",A1,"Nouns;Writing;Math",
lion,/ˈlaɪ.ən/,"a large carnivorous feline mammal of Africa and India, having a tawny coat with a shaggy mane in the male.",A1,"Animals;Nouns",
list,/lɪst/,"a number of connected items or names written or printed consecutively.",A1,"Nouns;Writing;Data",
listen,/ˈlɪs.ən/,"to give one's attention to a sound.",A1,"Verbs;Actions",
little,/ˈlɪt.əl/,"small in size, amount, or degree.",A1,"Adjectives;Size",
live,/lɪv/,"to remain alive.",A1,"Verbs;General",
local,/ˈləʊ.kəl/,"relating or restricted to a particular area or neighbourhood.",A1,"Adjectives;Places;Geography",
long,/lɒŋ/,"measuring a great distance from end to end.",A1,"Adjectives;Size",
look,/lʊk/,"to direct one's gaze towards someone or something or in a specified direction.",A1,"Verbs;Actions",
lose,/luːz/,"to be deprived of or cease to have or retain something.",A1,"Verbs;General",
lot,/lɒt/,"a large number or amount; a great deal.",A1,"Nouns;Pronouns;Grammar",
love,/lʌv/,"an intense feeling of deep affection.",A1,"Nouns;Verbs;Feelings",
lunch,/lʌntʃ/,"a meal eaten in the middle of the day.",A1,"Meals;Food;Nouns",
machine,/məˈʃiːn/,"a mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks.",A1,"Technology;Objects;Nouns",
magazine,/ˌmæɡ.əˈziːn/,"a periodical publication containing articles and illustrations, typically covering a particular subject or area of interest.",A1,"Media;Writing;Nouns",
main,/meɪn/,"chief in size or importance.",A1,"Adjectives;General",
make,/meɪk/,"to form something by putting parts together or combining substances; create.",A1,"Verbs;Actions",
man,/mæn/,"an adult male human being.",A1,"People;Nouns",
many,/ˈmen.i/,"a large number of.",A1,"Determiners;Grammar",
map,/mæp/,"a diagrammatic representation of an area of land or sea showing physical features, cities, roads, etc.",A1,"Geography;Objects;Nouns",
market,/ˈmɑː.kɪt/,"a regular gathering of people for the purchase and sale of provisions, livestock, and other commodities.",A1,"Places;Shopping;Nouns",
married,/ˈmær.id/,"united in marriage.",A1,"Adjectives;Relationships",
match,/mætʃ/,"a contest in which people or teams compete against each other in a particular sport.",A1,"Sports;Events;Nouns",
maybe,/ˈmeɪ.bi/,"perhaps; possibly.",A1,"Adverbs;Grammar",
me,/miː/,"used by a speaker to refer to himself or herself as the object of a verb or preposition.",A1,"Pronouns;Grammar",
meal,/miːl/,"any of the regular occasions in a day when a reasonably large amount of food is eaten, such as breakfast, lunch, or dinner.",A1,"Meals;Food;Nouns",
mean,/miːn/,"to intend to convey, indicate, or refer to a particular thing or notion; signify.",A1,"Verbs;Communication",
meaning,/ˈmiː.nɪŋ/,"what is meant by a word, text, concept, or action.",A1,"Communication;Nouns",
meat,/miːt/,"the flesh of an animal, typically a mammal or bird, as food.",A1,"Food;Nouns",
meet,/miːt/,"to arrange to be in the same place as someone at a particular time.",A1,"Verbs;Actions",
meeting,/ˈmiː.tɪŋ/,"an occasion when people come together, either formally or informally.",A1,"Events;Work;Nouns",
member,/ˈmem.bər/,"a person who belongs to a group or an organization.",A1,"People;Groups;Nouns",
menu,/ˈmen.juː/,"a list of dishes available in a restaurant.",A1,"Food;Writing;Objects",
message,/ˈmes.ɪdʒ/,"a short piece of information that you give to a person when you cannot speak to them directly.",A1,"Communication;Writing;Nouns",
metre,/ˈmiː.tər/,"the fundamental unit of length in the metric system, equal to 100 centimetres.",A1,"Math;Nouns",
midnight,/ˈmɪd.naɪt/,"twelve o'clock at night.",A1,"Time;Nouns",
mile,/maɪl/,"a unit of linear measure equal to 1,760 yards (approximately 1.609 kilometres).",A1,"Math;Nouns",
milk,/mɪlk/,"an opaque white fluid rich in fat and protein, secreted by female mammals for the nourishment of their young.",A1,"Food;Drinks;Nouns",
million,/ˈmɪl.jən/,"the number equivalent to the product of a thousand and a thousand; 1,000,000.",A1,"Math;Nouns",
minute,/ˈmɪn.ɪt/,"a period of time equal to sixty seconds or a sixtieth of an hour.",A1,"Time;Nouns",
miss,/mɪs/,"to fail to hit, reach, or hold something.",A1,"Verbs;Actions",
mistake,/mɪˈsteɪk/,"an action or judgment that is misguided or wrong.",A1,"Nouns;General",
model,/ˈmɒd.əl/,"a three-dimensional representation of a person or thing or of a proposed structure, typically on a smaller scale than the original.",A1,"Objects;Nouns",
modern,/ˈmɒd.ən/,"relating to the present or recent times as opposed to the remote past.",A1,"Adjectives;Time",
moment,/ˈməʊ.mənt/,"a very brief period of time.",A1,"Time;Nouns",
money,/ˈmʌn.i/,"a current medium of exchange in the form of coins and banknotes.",A1,"Money;Nouns",
month,/mʌnθ/,"each of the twelve named periods into which a year is divided.",A1,"Time;Months;Nouns",
more,/mɔːr/,"a greater or additional amount or degree.",A1,"Determiners;Adverbs;Grammar",
morning,/ˈmɔː.nɪŋ/,"the period of time between midnight and noon, especially from sunrise to noon.",A1,"Time;Nouns",
most,/məʊst/,"greatest in amount or degree.",A1,"Determiners;Adverbs;Grammar",
mother,/ˈmʌð.ər/,"a woman in relation to her child or children.",A1,"Family;People;Nouns",
mountain,/ˈmaʊn.tɪn/,"a large natural elevation of the earth's surface rising abruptly from the surrounding level; a large steep hill.",A1,"Nature;Geography;Nouns",
mouse,/maʊs/,"a small rodent that typically has a pointed snout, relatively large ears and eyes, and a long tail.",A1,"Animals;Nouns",
mouth,/maʊθ/,"the opening in the lower part of the human face, surrounded by the lips, through which food is taken in and from which speech and other sounds are emitted.",A1,"Body Parts;Nouns",
move,/muːv/,"to go in a specified direction or manner; change position.",A1,"Verbs;Movement",
movie,/ˈmuː.vi/,"a film.",A1,"Media;Leisure;Nouns",
much,/mʌtʃ/,"a large amount.",A1,"Determiners;Adverbs;Grammar",
mum,/mʌm/,"a mother.",A1,"Family;People;Nouns",
museum,/mjuːˈziː.əm/,"a building in which objects of historical, scientific, artistic, or cultural interest are stored and exhibited.",A1,"Places;Arts;Education",
music,/ˈmjuː.zɪk/,"vocal or instrumental sounds combined in such a way as to produce beauty of form, harmony, and expression of emotion.",A1,"Music;Arts;Hobbies",
must,/mʌst/,"used to express necessity or obligation.",A1,"Modals;Verbs;Grammar",
my,/maɪ/,"belonging to or associated with the speaker.",A1,"Determiners;Grammar",
name,/neɪm/,"a word or set of words by which a person or thing is known, addressed, or referred to.",A1,"Nouns;Communication",
natural,/ˈnætʃ.ər.əl/,"existing in or derived from nature; not made or caused by humankind.",A1,"Adjectives;Nature",
near,/nɪər/,"at or to a short distance away; a short way off.",A1,"Prepositions;Adverbs;Geography",
need,/niːd/,"to require something because it is essential or very important.",A1,"Verbs;General",
negative,/ˈneɡ.ə.tɪv/,"expressing or implying refusal, disagreement, or dissent.",A1,"Adjectives;Grammar",
neighbour,/ˈneɪ.bər/,"a person living next door to or very near to the speaker or person referred to.",A1,"People;Nouns",
never,/ˈnev.ər/,"at no time in the past or future; on no occasion; not ever.",A1,"Adverbs;Time;Grammar",
new,/njuː/,"produced, introduced, or discovered recently or now for the first time.",A1,"Adjectives;General",
news,/njuːz/,"newly received or noteworthy information, especially about recent events.",A1,"Media;Communication;Nouns",
newspaper,/ˈnjuːzˌpeɪ.pər/,"a printed publication consisting of folded unstapled sheets and containing news, articles, advertisements, and correspondence.",A1,"Media;Writing;Objects",
next,/nekst/,"coming immediately after the present one in time, order, or space.",A1,"Adjectives;Adverbs;Time",
nice,/naɪs/,"pleasant; agreeable; satisfactory.",A1,"Adjectives;Feelings",
night,/naɪt/,"the period from sunset to sunrise in each twenty-four hours.",A1,"Time;Nouns",
nine,/naɪn/,"the number equivalent to the sum of six and three; one more than eight.",A1,"Math;Nouns",
nineteen,/ˌnaɪnˈtiːn/,"the number equivalent to the sum of ten and nine; one more than eighteen.",A1,"Math;Nouns",
ninety,/ˈnaɪn.ti/,"the number equivalent to the product of nine and ten; 90.",A1,"Math;Nouns",
no,/nəʊ/,"used to give a negative response.",A1,"Interjections;Grammar",
nobody,/ˈnəʊ.bə.di/,"no person; no one.",A1,"Pronouns;People;Grammar",
north,/nɔːθ/,"the direction in which a compass needle normally points, towards the horizon on the left-hand side of a person facing east.",A1,"Geography;Nouns",
nose,/nəʊz/,"the part of the face or head that projects above the mouth and contains the nostrils, used for breathing and smelling.",A1,"Body Parts;Nouns",
not,/nɒt/,"used with an auxiliary verb or ‘be’ to form the negative.",A1,"Adverbs;Grammar",
note,/nəʊt/,"a brief record of facts, topics, or thoughts, written down as an aid to memory.",A1,"Writing;Nouns",
nothing,/ˈnʌθ.ɪŋ/,"not anything; no single thing.",A1,"Pronouns;Grammar",
now,/naʊ/,"at the present time or moment.",A1,"Adverbs;Time",
nurse,/nɜːs/,"a person trained to care for the sick or infirm, especially in a hospital.",A1,"Professions;Health;People",
object,/ˈɒb.dʒekt/,"a material thing that can be seen and touched.",A1,"Objects;Nouns",
of,/ɒv/,"expressing the relationship between a part and a whole.",A1,"Prepositions;Grammar",
off,/ɒf/,"away from the place in question; to or at a distance.",A1,"Adverbs;Prepositions;Grammar",
office,/ˈɒf.ɪs/,"a room, set of rooms, or building used as a place for commercial, professional, or bureaucratic work.",A1,"Work;Places;Nouns",
often,/ˈɒf.ən/,"frequently; many times.",A1,"Adverbs;Time",
oh,/əʊ/,"used to express a range of emotions including surprise, anger, disappointment, or joy.",A1,"Interjections;Phrases",
old,/əʊld/,"having lived for a long time; no longer young.",A1,"Adjectives;Time",
on,/ɒn/,"physically in contact with and supported by a surface.",A1,"Prepositions;Grammar",
once,/wʌns/,"on one occasion or for one time only.",A1,"Adverbs;Time",
one,/wʌn/,"the lowest cardinal number; half of two.",A1,"Math;Nouns;Determiners",
onion,/ˈʌn.jən/,"a vegetable with a pungent taste and smell, composed of several concentric layers.",A1,"Food;Plants;Nouns",
online,/ˌɒnˈlaɪn/,"connected to, served by, or available through a computer or telecommunications system.",A1,"Adjectives;Technology",
only,/ˈəʊn.li/,"and no one or nothing more besides.",A1,"Adjectives;Adverbs;Grammar",
open,/ˈəʊ.pən/,"not closed or blocked up.",A1,"Adjectives;General",
opinion,/əˈpɪn.jən/,"a view or judgement formed about something, not necessarily based on fact or knowledge.",A1,"Communication;Nouns",
opposite,/ˈɒp.ə.zɪt/,"situated on the other or further side when seen from a particular point of view; facing.",A1,"Adjectives;Prepositions;Geography",
or,/ɔːr/,"used to link alternatives.",A1,"Conjunctions;Grammar",
orange,/ˈɒr.ɪndʒ/,"a large round juicy citrus fruit with a tough bright reddish-yellow rind.",A1,"Food;Plants;Colors",
order,/ˈɔː.dər/,"the arrangement or disposition of people or things in relation to each other according to a particular sequence, pattern, or method.",A1,"Nouns;General",
other,/ˈʌð.ər/,"used to refer to a person or thing that is different or distinct from one already mentioned or known about.",A1,"Adjectives;Pronouns;Determiners",
our,/ɑːr/,"belonging to or associated with the speaker and one or more other people previously mentioned or easily identified.",A1,"Determiners;Grammar",
out,/aʊt/,"moving or appearing to move away from a particular place, especially one that is enclosed or hidden.",A1,"Adverbs;Prepositions;Movement",
outside,/ˌaʊtˈsaɪd/,"the external side or surface of something.",A1,"Adverbs;Prepositions;Places",
over,/ˈəʊ.vər/,"extending directly upwards from.",A1,"Prepositions;Movement",
own,/əʊn/,"used with a possessive to emphasize that someone or something belongs or relates to the person mentioned.",A1,"Adjectives;Verbs;Determiners",
paint,/peɪnt/,"a coloured substance which is spread over a surface and dries to leave a thin decorative or protective coating.",A1,"Arts;Objects;Nouns",
painting,/ˈpeɪn.tɪŋ/,"the action or skill of using paint, either in a picture or as decoration.",A1,"Arts;Hobbies;Nouns",
pair,/peər/,"a set of two things used together or regarded as a unit.",A1,"Nouns;General",
paper,/ˈpeɪ.pər/,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material.",A1,"Objects;Writing;Nouns",
paragraph,/ˈpær.ə.ɡrɑːf/,"a distinct section of a piece of writing, usually dealing with a single theme and indicated by a new line, indentation, or numbering.",A1,"Writing;Nouns",
parent,/ˈpeə.rənt/,"a father or mother.",A1,"Family;People;Nouns",
park,/pɑːk/,"a large public garden or area of land used for recreation.",A1,"Places;Leisure;Nature",
part,/pɑːt/,"a piece or portion of something.",A1,"Nouns;General",
partner,/ˈpɑːt.nər/,"a person who takes part in an undertaking with another or others, especially in a business or company with shared risks and profits.",A1,"People;Relationships;Work",
party,/ˈpɑː.ti/,"a social gathering of invited guests, typically involving eating, drinking, and entertainment.",A1,"Events;Leisure;Nouns",
passport,/ˈpɑːs.pɔːt/,"an official document issued by a government, certifying the holder's identity and citizenship and entitling them to travel under its protection to and from foreign countries.",A1,"Travel;Objects;Nouns",
past,/pɑːst/,"gone by in time and no longer existing.",A1,"Adjectives;Time",
pay,/peɪ/,"to give someone money that is due for work done, goods received, or a debt incurred.",A1,"Verbs;Money;Shopping",
pen,/pen/,"an instrument for writing or drawing with ink, typically consisting of a metal nib or ballpoint fitted into a holder.",A1,"Objects;Writing;Nouns",
pencil,/ˈpen.səl/,"an instrument for writing or drawing, consisting of a thin stick of graphite or a similar solid pigment, typically cased in wood.",A1,"Objects;Writing;Nouns",
people,/ˈpiː.pəl/,"human beings in general or considered collectively.",A1,"People;Society;Nouns",
pepper,/ˈpep.ər/,"a pungent hot-tasting powder prepared from dried and ground peppercorns, used as a spice.",A1,"Food;Plants;Nouns",
perfect,/ˈpɜː.fekt/,"having all the required or desirable elements, qualities, or characteristics; as good as it is possible to be.",A1,"Adjectives;Feelings",
period,/ˈpɪə.ri.əd/,"a length or portion of time.",A1,"Time;Nouns",
person,/ˈpɜː.sən/,"an individual human being.",A1,"People;Nouns",
personal,/ˈpɜː.sən.əl/,"belonging to or affecting a particular person rather than anyone else.",A1,"Adjectives;General",
phone,/fəʊn/,"a telephone.",A1,"Technology;Objects;Communication",
photo,/ˈfəʊ.təʊ/,"a photograph.",A1,"Objects;Media;Hobbies",
photograph,/ˈfəʊ.tə.ɡrɑːf/,"a picture made using a camera, in which an image is focused on to light-sensitive material and then made visible and permanent by chemical treatment.",A1,"Objects;Media;Hobbies",
phrase,/freɪz/,"a small group of words standing together as a conceptual unit, typically forming a component of a clause.",A1,"Writing;Grammar;Nouns",
piano,/piˈæn.əʊ/,"a large keyboard musical instrument with a wooden case enclosing a soundboard and metal strings, which are struck by hammers when the keys are depressed.",A1,"Music;Objects;Hobbies",
picture,/ˈpɪk.tʃər/,"a painting, drawing, photograph, or other representation of a person, thing, or scene.",A1,"Arts;Objects;Nouns",
piece,/piːs/,"a part or portion of something.",A1,"Nouns;General",
pig,/pɪɡ/,"a domesticated hoofed mammal with sparse bristly hair and a flat snout, useful for its meat.",A1,"Animals;Farming;Nouns",
pink,/pɪŋk/,"a color intermediate between red and white, as of coral or salmon.",A1,"Colors;Adjectives;Nouns",
plan,/plæn/,"a detailed proposal for doing or achieving something.",A1,"Nouns;Work;General",
plane,/pleɪn/,"a powered flying vehicle with fixed wings and a weight greater than that of the air it displaces, driven forward by propellers or jet engines.",A1,"Transport;Objects;Nouns",
plant,/plɑːnt/,"a living organism of the kind exemplified by trees, shrubs, herbs, grasses, ferns, and mosses.",A1,"Plants;Nature;Nouns",
play,/pleɪ/,"to engage in activity for enjoyment and recreation rather than a serious or practical purpose.",A1,"Verbs;Leisure;Sports",
player,/ˈpleɪ.ər/,"a person taking part in a sport or game.",A1,"People;Sports;Leisure",
please,/pliːz/,"used in polite requests or questions.",A1,"Interjections;Phrases",
point,/pɔɪnt/,"a particular spot, place, or position in an area or on a map, object, or surface.",A1,"Nouns;General",
police,/pəˈliːs/,"the civil force of a state, responsible for the prevention and detection of crime and the maintenance of public order.",A1,"Society;Professions;Nouns",
policeman,/pəˈliːs.mən/,"a male police officer.",A1,"People;Professions;Nouns",
pool,/puːl/,"a small area of still water, typically one formed naturally.",A1,"Places;Nature;Leisure",
poor,/pɔːr/,"lacking sufficient money to live at a standard considered comfortable or normal in a society.",A1,"Adjectives;Society;Money",
popular,/ˈpɒp.jə.lər/,"liked, admired, or enjoyed by many people or by a particular person or group.",A1,"Adjectives;Society",
positive,/ˈpɒz.ə.tɪv/,"consisting in or characterized by the presence rather than the absence of distinguishing features.",A1,"Adjectives;General",
possible,/ˈpɒs.ə.bəl/,"able to be done or achieved.",A1,"Adjectives;General",
post,/pəʊst/,"the official service or system that delivers letters and parcels.",A1,"Communication;Nouns",
potato,/pəˈteɪ.təʊ/,"a starchy plant tuber which is one of the most important food crops, cooked and eaten as a vegetable.",A1,"Food;Plants;Nouns",
pound,/paʊnd/,"a unit of money equal to 100 pence, used in the United Kingdom and other countries.",A1,"Money;Nouns",
practice,/ˈpræk.tɪs/,"the actual application or use of an idea, belief, or method, as opposed to theories relating to it.",A1,"Nouns;Education;Work",
practise,/ˈpræk.tɪs/,"to perform an activity or exercise a skill repeatedly or regularly in order to improve or maintain one's proficiency.",A1,"Verbs;Education;Hobbies",
prefer,/prɪˈfɜːr/,"to like one thing or person better than another or others.",A1,"Verbs;Feelings",
prepare,/prɪˈpeər/,"to make something ready for use or consideration.",A1,"Verbs;Actions",
present,/ˈprez.ənt/,"existing or occurring now.",A1,"Adjectives;Time",
pretty,/ˈprɪt.i/,"attractive in a delicate way without being truly beautiful.",A1,"Adjectives;Appearance",
price,/praɪs/,"the amount of money expected, required, or given in payment for something.",A1,"Money;Shopping;Nouns",
probably,/ˈprɒb.ə.bli/,"almost certainly; as far as one knows or can tell.",A1,"Adverbs;Grammar",
problem,/ˈprɒb.ləm/,"a matter or situation regarded as unwelcome or harmful and needing to be dealt with and overcome.",A1,"Nouns;General",
product,/ˈprɒd.ʌkt/,"an article or substance that is manufactured or refined for sale.",A1,"Objects;Shopping;Nouns",
programme,/ˈprəʊ.ɡræm/,"a planned series of future events or performances.",A1,"Media;Events;Nouns",
project,/ˈprɒdʒ.ekt/,"an individual or collaborative enterprise that is carefully planned to achieve a particular aim.",A1,"Work;Education;Nouns",
purple,/ˈpɜː.pəl/,"a color intermediate between red and blue.",A1,"Colors;Adjectives;Nouns",
put,/pʊt/,"to move to or place in a particular position.",A1,"Verbs;Actions",
quarter,/ˈkwɔː.tər/,"each of four equal or corresponding parts into which something is or can be divided.",A1,"Math;Nouns",
question,/ˈkwes.tʃən/,"a sentence worded or expressed so as to elicit information.",A1,"Communication;Nouns",
quick,/kwɪk/,"moving fast or doing something in a short time.",A1,"Adjectives;Time",
quickly,/ˈkwɪk.li/,"at a fast speed; rapidly.",A1,"Adverbs;Time",
quiet,/ˈkwaɪ.ət/,"making little or no noise.",A1,"Adjectives;General",
quite,/kwaɪt/,"to the utmost or most absolute extent or degree; absolutely; completely.",A1,"Adverbs;Grammar",
radio,/ˈreɪ.di.əʊ/,"the transmission and reception of electromagnetic waves of radio frequency, especially those carrying sound messages.",A1,"Media;Technology;Objects",
rain,/reɪn/,"moisture condensed from the atmosphere that falls visibly in separate drops.",A1,"Weather;Nature;Nouns",
read,/riːd/,"to look at and comprehend the meaning of written or printed matter.",A1,"Verbs;Education;Leisure",
reader,/ˈriː.dər/,"a person who reads or who is fond of reading.",A1,"People;Nouns",
reading,/ˈriː.dɪŋ/,"the action or skill of reading.",A1,"Hobbies;Education;Nouns",
ready,/ˈred.i/,"in a suitable state for an action or situation; fully prepared.",A1,"Adjectives;General",
real,/rɪəl/,"actually existing as a thing or occurring in fact; not imagined or supposed.",A1,"Adjectives;General",
really,/ˈrɪə.li/,"in actual fact, as opposed to what is said or imagined; in reality.",A1,"Adverbs;Grammar",
reason,/ˈriː.zən/,"a cause, explanation, or justification for an action or event.",A1,"Nouns;Communication",
red,/red/,"the color of blood, or of a ruby.",A1,"Colors;Adjectives;Nouns",
relax,/rɪˈlæks/,"to make or become less tense or anxious.",A1,"Verbs;Feelings;Leisure",
remember,/rɪˈmem.bər/,"to have in or be able to bring to one's mind an awareness of someone or something from the past.",A1,"Verbs;General",
repeat,/rɪˈpiːt/,"to say again something one has already said.",A1,"Verbs;Communication",
report,/rɪˈpɔːt/,"a spoken or written account of something that one has observed, heard, done, or investigated.",A1,"Writing;Work;Nouns",
restaurant,/ˈres.trɒnt/,"a place where people pay to sit and eat meals that are cooked and served on the premises.",A1,"Places;Food;Nouns",
result,/rɪˈzʌlt/,"a consequence, effect, or outcome of something.",A1,"Nouns;General",
return,/rɪˈtɜːn/,"to come or go back to a place or person.",A1,"Verbs;Movement",
rice,/raɪs/,"a swamp grass which is widely cultivated as a source of food, especially in Asia.",A1,"Food;Plants;Nouns",
rich,/rɪtʃ/,"having a great deal of money or assets.",A1,"Adjectives;Money;Society",
ride,/raɪd/,"to sit on and control the movement of a horse, bicycle, or motorcycle.",A1,"Verbs;Transport;Leisure",
right,/raɪt/,"morally good, justified, or acceptable.",A1,"Adjectives;General",
river,/ˈrɪv.ər/,"a large natural stream of water flowing in a channel to the sea, a lake, or another river.",A1,"Nature;Geography;Places",
road,/rəʊd/,"a wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use.",A1,"Transport;Places;Nouns",
room,/ruːm/,"a part or division of a building enclosed by walls, floor, and ceiling.",A1,"House;Places;Nouns",
routine,/ruːˈtiːn/,"a sequence of actions regularly followed.",A1,"Nouns;Work;Time",
rule,/ruːl/,"one of a set of explicit or understood regulations or principles governing conduct or procedure.",A1,"Nouns;Grammar;Society",
run,/rʌn/,"to move at a speed faster than a walk, never having both or all the feet on the ground at the same time.",A1,"Verbs;Movement;Sports",
sad,/sæd/,"feeling or showing sorrow; unhappy.",A1,"Adjectives;Feelings",
salad,/ˈsæl.əd/,"a cold dish of various mixtures of raw or cooked vegetables, usually seasoned with oil, vinegar, or other dressing.",A1,"Food;Nouns",
salt,/sɒlt/,"a white crystalline substance that gives seawater its characteristic taste and is used for seasoning or preserving food.",A1,"Food;Nouns",
same,/seɪm/,"identical; not different.",A1,"Adjectives;General",
sandwich,/ˈsæn.wɪdʒ/,"an item of food consisting of two pieces of bread with meat, cheese, or other filling between them, eaten as a light meal.",A1,"Food;Nouns",
Saturday,/ˈsæt.ə.deɪ/,"the day of the week before Sunday and following Friday.",A1,"Time;Days;Nouns",
say,/seɪ/,"to utter words so as to convey information, an opinion, a feeling or intention, or a question.",A1,"Verbs;Communication",
school,/skuːl/,"an institution for educating children.",A1,"Education;Places;Nouns",
science,/ˈsaɪ.əns/,"the intellectual and practical activity encompassing the systematic study of the structure and behaviour of the physical and natural world through observation and experiment.",A1,"Education;Nouns",
scientist,/ˈsaɪən.tɪst/,"a person who is studying or has expert knowledge of one or more of the natural or physical sciences.",A1,"Professions;People;Nouns",
sea,/siː/,"the expanse of salt water that covers most of the earth's surface and surrounds its landmasses.",A1,"Nature;Geography;Nouns",
second,/ˈsek.ənd/,"constituting number two in a sequence; 2nd.",A1,"Math;Time;Nouns",
section,/ˈsek.ʃən/,"any of the more or less distinct parts into which something is or may be divided or from which it is made up.",A1,"Nouns;General",
see,/siː/,"to perceive with the eyes; discern visually.",A1,"Verbs;Actions",
sell,/sel/,"to give or hand over something in exchange for money.",A1,"Verbs;Shopping;Money",
send,/send/,"to cause to go or be taken to a particular destination; arrange for the delivery of, especially by post.",A1,"Verbs;Communication;Actions",
sentence,/ˈsen.təns/,"a set of words that is complete in itself, typically containing a subject and predicate, conveying a statement, question, exclamation, or command.",A1,"Writing;Grammar;Nouns",
seven,/ˈsev.ən/,"the number equivalent to the sum of six and one; one more than six.",A1,"Math;Nouns",
seventeen,/ˌsev.ənˈtiːn/,"the number equivalent to the sum of ten and seven; one more than sixteen.",A1,"Math;Nouns",
seventy,/ˈsev.ən.ti/,"the number equivalent to the product of seven and ten; 70.",A1,"Math;Nouns",
share,/ʃeər/,"to have a portion of something with another or others.",A1,"Verbs;Actions",
she,/ʃiː/,"used to refer to a woman, girl, or female animal previously mentioned or easily identified.",A1,"Pronouns;Grammar",
sheep,/ʃiːp/,"a domesticated ruminant animal with a thick woolly coat.",A1,"Animals;Farming;Nouns",
shirt,/ʃɜːt/,"a garment for the upper body made of cotton or a similar fabric, with a collar, sleeves, and buttons down the front.",A1,"Clothing;Objects;Nouns",
shoe,/ʃuː/,"a covering for the foot, typically made of leather, having a sturdy sole and not reaching above the ankle.",A1,"Clothing;Objects;Nouns",
shop,/ʃɒp/,"a building or part of a building where goods or services are sold.",A1,"Shopping;Places;Nouns",
shopping,/ˈʃɒp.ɪŋ/,"the action or activity of buying goods from shops.",A1,"Shopping;Leisure;Nouns",
short,/ʃɔːt/,"measuring a small distance from end to end.",A1,"Adjectives;Size",
should,/ʃʊd/,"used to indicate obligation, duty, or correctness, typically when criticizing someone's actions.",A1,"Modals;Verbs;Grammar",
show,/ʃəʊ/,"to allow or cause to be visible.",A1,"Verbs;Actions",
shower,/ˈʃaʊ.ər/,"a cubicle or bath in which a person stands under a spray of water to wash.",A1,"House;Objects;Nouns",
sick,/sɪk/,"affected by physical or mental illness.",A1,"Adjectives;Health",
similar,/ˈsɪm.ɪ.lər/,"resembling without being identical.",A1,"Adjectives;General",
sing,/sɪŋ/,"to make musical sounds with the voice, especially words with a set tune.",A1,"Verbs;Music;Hobbies",
singer,/ˈsɪŋ.ər/,"a person who sings, especially professionally.",A1,"People;Professions;Music",
sister,/ˈsɪs.tər/,"a woman or girl who has one or both parents in common with another person.",A1,"Family;People;Nouns",
sit,/sɪt/,"to adopt or be in a position in which one's weight is supported by one's buttocks rather than one's feet and one's back is upright.",A1,"Verbs;Actions",
situation,/ˌsɪtʃ.uˈeɪ.ʃən/,"a set of circumstances in which one finds oneself; a state of affairs.",A1,"Nouns;General",
six,/sɪks/,"the number equivalent to the product of two and three; one more than five.",A1,"Math;Nouns",
sixteen,/ˌsɪkˈstiːn/,"the number equivalent to the sum of ten and six; one more than fifteen.",A1,"Math;Nouns",
sixty,/ˈsɪk.sti/,"the number equivalent to the product of six and ten; 60.",A1,"Math;Nouns",
skill,/skɪl/,"the ability to do something well; expertise.",A1,"Nouns;Work;Hobbies",
skirt,/skɜːt/,"a woman's outer garment fastened around the waist and hanging down around the legs.",A1,"Clothing;Objects;Nouns",
sleep,/sliːp/,"a condition of body and mind that typically recurs for several hours every night, in which the nervous system is inactive, the eyes closed, and consciousness practically suspended.",A1,"Verbs;Health",
slow,/sləʊ/,"moving or operating at a low speed.",A1,"Adjectives;Movement",
small,/smɔːl/,"of a size that is less than normal or usual.",A1,"Adjectives;Size",
